name,chisq,rin,rout,rlaw,amin,amax,alaw,mass,fcryst1,oliv1,ffost1
HD3003,3.7442,0.096460241,42.73745244,0.0451,3.3182,111.276987,3.9798,0.003444728,0.301,0.4134,0.1809
HD5267,2.7438,0.870755943,410.2662977,0.7566,5.606,8.019992,3.0394,0.000356004,0.2502,0.267,0.1705
HD6798,3.1959,1.319670426,143.091177,-0.284,4.585,5.926241,4.9385,0.005292428,0.0021,0.9352,0.7304
HD10472,5.0345,0.075118957,304.3315333,-0.2424,5.5585,131.410799,3.6047,1.876959873,0.7398,0.3416,0.0016
HD10638,3.3713,0.320043469,1827.677924,-0.2951,4.2973,250,5.4103,2.186024314,0.4421,0.386,0.3312
BD+20307,5.6183,0.231170341,84.11623278,3.6468,0.3466,21.57243,3.2296,0.000113228,0.0497,0.7918,0.609
HD15745,2.6972,5.381589908,3543.902685,3.2047,6.0371,6.675364,3.4917,0.007727784,0.0026,0.7719,0.2309
HD17848,10.8397,0.386785491,644.9127088,0.014,7.9693,105.140406,5.2378,0.120574366,0.9961,0.0695,0.0056
HD23267,1.3084,7.103263137,80.92754748,1.6153,6.9368,250,3.4515,0.001755315,0.1981,0.2542,0.332
HD24141,2.7692,0.753281008,94.01770017,0.6731,4.4156,250,5.1721,0.00064203,0.0001,0.1739,0.2569
HD24966,8.6157,0.328464899,1757.899136,-0.0888,3.6745,250,4.5335,1.647991578,0.1446,0.0023,0.1666
HD32297,4.8787,0.214585225,95.00710706,-0.7615,2.8655,41.776871,2.532,1.190844316,0.351,0.4815,0.1697
1RXSJ051111.1+281353,1.9296,0.032236807,288.2285041,3.5522,0.8178,250,4.1042,4.37E-07,0.1189,0.7885,0.6126
HD34324,4.173,6.653203283,3618.802451,1.4675,9.1387,41.174459,3.4244,0.019663236,0.0323,0.5309,0.0886
HD35150,2.2688,0.256525465,245.6413776,0.4827,3.6247,3.946273,3.4902,0.00042438,0.2347,0.1713,0.5892
HD37286,2.5082,0.116780171,77.74529356,0.2289,3.3404,16.662998,5.0147,0.001351621,0.0531,0.5543,0.0685
HD37306,8.5659,0.236991693,2285.339368,0.2283,4.6014,4.906989,3.6712,0.23488484,0.1493,0.2409,0.2069
HD37564,4.1541,0.128878239,235.8067973,0.2337,9.4548,250,2.1309,1.356609919,0.0015,0.1159,0.5346
HD38206,5.5643,0.592802406,800.6355532,0.227,5.3102,7.860337,3.9572,0.052717522,0.407,0.5092,0.4803
ZetaLep,11.8704,0.383046331,51.72807508,-0.0185,3.5907,9.097023,2.2299,0.006475227,0.0078,0.6011,0.3815
BetaPic,26.2341,0.166625915,146.5982702,0.0038,5.6891,250,5.3681,4.301847276,0.9994,0.6495,0.0025
HD40540,6.3931,0.841216446,42.69550784,-1.3695,10.6659,49.503914,2.9361,0.043336615,0.0087,0.5261,0.1567
HD53842,1.1848,0.092123984,6.154478578,-0.6668,25.6351,27.29661,3.937,0.000616531,0.2796,0.3517,0.0114
ID8,10.1531,0.024095601,122.9741305,1.9019,0.9968,90.648997,4.6475,3.23E-06,0.2543,0.998,0.4448
HD68420,0.9022,0.452764265,229.4112688,0.4784,19.8746,170.705958,3.4267,0.001826228,0.0032,0.4634,0.1989
HD69830,101.1882,0.026508237,2.435130202,1.336,2.203,6.447033,3.128,5.23E-05,0.8075,0.5264,0.5921
HD71043,0.7486,0.622847955,896.9024966,0.4338,2.9943,160.18197,3.7459,0.044787311,0.2447,0.8146,0.2562
HD71155,17.2357,0.599989791,181.5184606,0.0348,5.6867,7.075443,2.1624,0.008101305,0.9053,0.6627,0.0272
HD75416,1.6846,2.743333788,47.10004226,0.8337,9.1272,24.810302,3.8311,0.000169846,0.1258,0.227,0.6054
HD74873,1.7749,0.476312087,61.06372591,0.2598,6.6587,7.159386,2.718,0.000502753,0.5362,0.1087,0.2519
HD84870,4.6509,0.216650146,441.3457326,-0.1529,5.149,77.501905,4.4296,0.154296114,0.9883,0.2765,0.3421
HD86087,8.6691,0.550254969,240.2611542,-0.2858,5.7421,6.055246,2.2185,0.008694708,0.44,0.9444,0.2297
HD98363,3.9357,0.61692937,47.54132184,-0.315,3.226,38.921351,3.9715,0.004872535,0.1712,0.0076,0.156
HD104231,2.5577,0.064559462,5.477404774,0.3273,6.3228,250,2.37,0.000886043,0.003,0.8441,0.3657
HD104600,7.1723,3.488556108,114.8225537,0.0094,6.3842,14.755652,4.7444,0.001590944,0.289,0.7481,0.1642
EfCha,57.1471,0.065899674,463.4869338,2.2057,3.1193,3.3059,2.0694,1.72E-05,0.3166,0.403,0.9985
HD105613,2.0395,0.505202375,106.6128251,0.7536,3.8954,250,4.2538,0.00045233,0.0056,0.3105,0.4116
HD105850,7.5555,0.296287632,80.56589567,0.2977,9.7783,10.486258,3.3261,0.001410766,0.833,0.18,0.0012
HD105857,2.0817,0.094803892,14.01677992,-0.4917,2.2098,66.833337,3.2001,0.000296248,0.2635,0.4274,0.1948
HD106036,4.1133,0.743724081,64.1109277,0.3145,3.1189,34.497276,3.8693,0.002324101,0.3175,0.8384,0.1228
HD106389,2.1118,0.105441356,1970.415378,1.658,3.1052,171.876832,4.8054,3.07E-05,0.3096,0.5206,0.2839
HD106797,12.848,0.269619726,39.95114241,-0.3591,4.7901,12.06672,3.3769,0.000825192,0.0275,0.9,0.3417
HD106906,3.3959,0.579139483,8.015587394,-3.2466,9.0432,250,4.1588,0.021774841,0.0063,0.4363,0.0901
HD107301,4.7803,1.543823654,45.81274091,-1.498,22.1936,250,4.2582,0.008874727,0.0022,0.9281,0.129
HD107947,2.7033,0.381071081,32.12487484,-0.1425,8.4157,250,4.3451,0.000839373,0.0702,0.6937,0.1034
HD108857,4.2882,0.410888637,129.3170242,1.0208,2.1924,250,3.2866,0.018743685,0.1388,0.0203,0.0979
HD108904,0.2351,0.736875167,158.5489247,0.4896,1.6525,8.358586,4.4804,0.005387099,0.1333,0.6608,0.5209
HD109573,39.658,20.53988192,1094.079288,1.4051,3.9101,30.400618,3.5807,1.660179275,0.1664,0.1965,0.1972
HD109704,3.6732,0.280656465,2807.574159,0.3298,4.8995,6.327677,3.2063,0.202187819,0.3398,0.024,0.0073
HD109832,2.2941,0.143566205,15.26772324,-0.7049,6.1009,7.274218,4.2887,0.000975113,0.005,0.1169,0.3409
HD110058,7.7801,0.358609105,32.01093846,-0.9778,3.8242,40.155094,4.9171,0.010993981,0.0573,0.0613,0.1651
HD110411,6.8389,0.344980354,859.3980401,-0.0566,5.4229,76.472464,5.272,0.500097851,0.4756,0.0108,0.2455
HD111520,1.8184,0.151329669,8.080109475,-1.8287,5.5735,32.941169,4.7574,0.002339133,0.2091,0.9795,0.1823
HD112383,5.8419,0.754945153,11.7598339,-1.079,18.5448,250,3.8227,0.00092099,0.0196,0.9807,0.0017
HD113457,1.075,1.629170797,105.6224739,0.7395,3.6732,19.924761,3.8173,0.001183191,0.095,0.0223,0.224
HD113556,2.7531,0.118371953,551.0229931,-0.0971,4.8451,5.640473,4.3453,0.249605981,0.2839,0.7264,0.7013
HD114082,3.1646,1.90647904,129.7952367,0.1816,2.2572,231.857998,3.783,0.983909124,0.0409,0.3608,0.57
HD115361,1.8594,0.125387618,16.30308911,-0.5401,25.8455,53.798011,1.8529,0.007108124,0.0066,0.5066,0.9086
HD117214,5.036,0.130562893,19.47048584,-0.9939,1.9497,8.558933,2.1619,0.014600072,0.0787,0.46,0.0215
HD117484,1.8987,1.225421053,411.8604184,-0.0692,3.1983,20.448702,3.6651,0.022953821,0.0892,0.7062,0.2889
HD117524,1.5524,0.051450179,0.052123418,4.5548,14.2154,250,4.4425,5.39E-07,0.3,0.6272,0.8589
HD117665,3.4046,1.557534037,77.94502931,0.6089,3.4678,8.291413,3.1946,0.000379625,0.0062,0.2585,0.7508
HD118379,2.829,11.23328161,3610.425618,3.6268,8.461,18.001721,3.6868,0.000677883,0.2314,0.9669,0.5722
HD118588,2.2089,0.654219618,17.07111437,-0.4635,6.5727,11.202363,2.8319,0.000249147,0.0213,0.5393,0.2869
HD120326,2.146,3.946528071,2978.384216,4.1359,6.6593,7.024573,4.1164,0.001074373,0.1157,0.1574,0.3629
HD122705,4.1142,0.10685632,17.78098899,0.4823,4.5311,4.922737,4.2493,1.28E-05,0.1257,0.3956,0.2168
HD124619,2.1468,0.079286711,68.17072763,0.4552,11.2876,179.021297,3.2482,0.002718661,0.0047,0.5183,0.3258
HD125541,1.9234,0.322536134,557.610056,0.1947,3.5454,10.580905,4.0955,0.087670804,0.0384,0.0484,0.1389
HD126062,3.395,0.401819416,566.9366086,-0.015,3.434,250,4.3786,0.046307889,0.1819,0.5287,0.4324
HD126135,1.512,2.237660201,92.52054865,0.2691,29.3563,250,4.1902,0.002304915,0.0009,0.6393,0.0487
HD127750,7.5683,0.47738643,1410.459774,-0.0084,3.6066,13.706436,5.4975,0.057896857,0.2068,0.3475,0.8155
HD129590,13.2566,6.257110261,6.321260269,-0.6128,16.701,231.590007,2.9845,0.091528214,0.4435,0.6176,0.0003
HD132238,0.6876,4.927707203,144.3691853,0.4282,19.9421,107.515291,3.2594,0.000770469,0.0876,0.59,0.3434
