name,chisq,temp1,temp2,Loc1,Loc2,amin1,amin2,mass1,mass2,fcryst1,fcryst2,oliv1,oliv2,ffost1,ffost2
HD3003,3.7442,163.0335,710.5583,8.431412033,0.696559334,6.9619,9.7419,0.00015731,1.23E-06,0.3001,0.0423,0.269,0.7558,0.0362,0.6691
HD5267,2.7438,79.7739,536.7774,76.97277332,2.337527659,10.6835,7.7129,0.0002162,5.19E-07,0.2438,0.0022,0.7074,0.129,0.0611,0.5095
HD6798,3.1959,89.2417,257.2388,51.80798799,5.009040795,5.1963,7.1306,0.000808826,6.77E-06,0.0375,0.0287,0.8253,0.4736,0.2076,0.4581
HD10472,5.0345,93.4332,612.7082,7.220500474,0.167739774,6.5427,22.4905,0.000178671,4.76E-07,0.1144,0.5292,0.4627,0.1236,0.4122,0.2824
HD10638,3.3713,74.9254,433.0776,46.38741336,1.305262382,6.7593,6.8011,0.001369793,4.39E-07,0.0418,0.9678,0.713,0.5789,0.3423,0.6157
BD+20307,5.6183,257.1589,870.7958,1.957935398,0.078914297,0.3478,4.6854,2.89E-05,3.03E-06,0.016,0.2383,0.9898,0.9629,0.3212,0.4847
HD15407,2.6972,146.3019,999.6423,7.268356233,0.08819913,0.8723,20.4097,0.000149402,1.77E-05,0.0225,0.0012,0.0173,0.865,0.1952,0.4183
HD15745,10.8397,86.6821,155.5399,8.728793009,3.070318314,10.6058,3.4699,0.005467074,2.35E-05,0.0102,0.0037,0.5987,0.1212,0.699,0.7761
HD17848,1.3084,78.2868,740.3284,36.34353104,0.451318937,7.1228,15.2655,0.000608212,4.38E-07,0.5645,0.7173,0.7391,0.4116,0.0657,0.3263
HD23267,2.7692,115.0661,216.3078,27.18151605,7.751172632,10.4806,8.8494,6.52E-05,1.10E-05,0.0002,0.0007,0.192,0.5725,0.4279,0.3667
HD24141,8.6157,99.858,310.3934,14.81858261,1.566326976,20.0164,6.7133,0.000251047,1.68E-06,0.0121,0.0001,0.9366,0.2205,0.0983,0.6588
HD24966,4.8787,92.6841,455.8608,33.97642659,1.522448178,6.3364,11.427,0.000633804,1.26E-06,0.0596,0.0247,0.8315,0.2281,0.1688,0.0965
HD32297,1.9296,91.6679,312.1194,12.04276862,1.045803445,9.97,10.1888,0.005813732,6.82E-06,0.1023,0.1189,0.5114,0.3522,0.57,0.036
1RXSJ051111.1+281353,4.173,73.9635,613.567,5.68737518,0.114522803,17.4304,29.9989,7.36E-07,4.30E-07,0.0172,0.0044,0.3631,0.1221,0.794,0.0198
